Gene	Approved	Suggested.Symbol	cell_type	meta_program	gene_rank	orig_in_10x	suggest_in_10x	Updated_Symbol
FCER1A	TRUE	FCER1A	Malignant	platelet_activation	37	TRUE	TRUE	NA
FCER1G	TRUE	FCER1G	Malignant	platelet_activation	38	TRUE	TRUE	NA
FLI1	TRUE	FLI1	Malignant	platelet_activation	39	TRUE	TRUE	NA
GATA2	TRUE	GATA2	Malignant	platelet_activation	40	TRUE	TRUE	NA
GUCY1B1	FALSE	GUCY1B1	Malignant	platelet_activation	41	FALSE	TRUE	GUCY1B1
PRKAR2B	TRUE	PRKAR2B	Malignant	platelet_activation	42	TRUE	TRUE	NA
TGFB1	TRUE	TGFB1	Malignant	platelet_activation	43	TRUE	TRUE	NA
TPM4	TRUE	TPM4	Malignant	platelet_activation	44	TRUE	TRUE	NA
VASP	TRUE	VASP	Malignant	platelet_activation	45	TRUE	TRUE	NA
RAB27B	TRUE	RAB27B	Malignant	platelet_activation	46	TRUE	TRUE	NA
PIM1	TRUE	PIM1	Malignant	platelet_activation	47	TRUE	TRUE	NA
CD36	TRUE	CD36	Malignant	platelet_activation	48	TRUE	TRUE	NA
LGALS1	TRUE	LGALS1	Malignant	platelet_activation	49	TRUE	TRUE	NA
CKB	TRUE	CKB	Malignant	platelet_activation	50	TRUE	TRUE	NA
CSF3R	TRUE	CSF3R	Malignant	hemato_related_i	1	TRUE	TRUE	NA
SPINK2	TRUE	SPINK2	Malignant	hemato_related_i	2	TRUE	TRUE	NA
VAMP5	TRUE	VAMP5	Malignant	hemato_related_i	3	TRUE	TRUE	NA
AZU1	TRUE	AZU1	Malignant	hemato_related_i	4	TRUE	TRUE	NA
SELL	TRUE	SELL	Malignant	hemato_related_i	5	TRUE	TRUE	NA
C1QTNF4	TRUE	C1QTNF4	Malignant	hemato_related_i	6	TRUE	TRUE	NA
CFD	TRUE	CFD	Malignant	hemato_related_i	7	TRUE	TRUE	NA
CTSG	TRUE	CTSG	Malignant	hemato_related_i	8	TRUE	TRUE	NA
ELANE	TRUE	ELANE	Malignant	hemato_related_i	9	TRUE	TRUE	NA
HOPX	TRUE	HOPX	Malignant	hemato_related_i	10	TRUE	TRUE	NA
ITM2C	TRUE	ITM2C	Malignant	hemato_related_i	11	TRUE	TRUE	NA
NPDC1	TRUE	NPDC1	Malignant	hemato_related_i	12	TRUE	TRUE	NA
AVP	TRUE	AVP	Malignant	hemato_related_i	13	TRUE	TRUE	NA
ARMH1	FALSE	ARMH1	Malignant	hemato_related_i	14	FALSE	TRUE	ARMH1
CD52	TRUE	CD52	Malignant	hemato_related_i	15	TRUE	TRUE	NA
CLEC11A	TRUE	CLEC11A	Malignant	hemato_related_i	16	TRUE	TRUE	NA
CRHBP	TRUE	CRHBP	Malignant	hemato_related_i	17	TRUE	TRUE	NA
CST7	TRUE	CST7	Malignant	hemato_related_i	18	TRUE	TRUE	NA
MBOAT7	TRUE	MBOAT7	Malignant	hemato_related_i	19	TRUE	TRUE	NA
MDK	TRUE	MDK	Malignant	hemato_related_i	20	TRUE	TRUE	NA
PLAC8	TRUE	PLAC8	Malignant	hemato_related_i	21	TRUE	TRUE	NA
PRTN3	TRUE	PRTN3	Malignant	hemato_related_i	22	TRUE	TRUE	NA
RNASE2	TRUE	RNASE2	Malignant	hemato_related_i	23	TRUE	TRUE	NA
BAALC	TRUE	BAALC	Malignant	hemato_related_i	24	TRUE	TRUE	NA
BST2	TRUE	BST2	Malignant	hemato_related_i	25	TRUE	TRUE	NA
SMIM24	FALSE	SMIM24	Malignant	hemato_related_i	26	FALSE	TRUE	SMIM24
CD44	TRUE	CD44	Malignant	hemato_related_i	27	TRUE	TRUE	NA
GLIPR1	TRUE	GLIPR1	Malignant	hemato_related_i	28	TRUE	TRUE	NA
ICAM3	TRUE	ICAM3	Malignant	hemato_related_i	29	TRUE	TRUE	NA
KLF6	TRUE	KLF6	Malignant	hemato_related_i	30	TRUE	TRUE	NA
MPO	TRUE	MPO	Malignant	hemato_related_i	31	TRUE	TRUE	NA
MS4A3	TRUE	MS4A3	Malignant	hemato_related_i	32	TRUE	TRUE	NA
PRSS57	TRUE	PRSS57	Malignant	hemato_related_i	33	TRUE	TRUE	NA
RAB32	TRUE	RAB32	Malignant	hemato_related_i	34	TRUE	TRUE	NA
SRGN	TRUE	SRGN	Malignant	hemato_related_i	35	TRUE	TRUE	NA
TSC22D3	TRUE	TSC22D3	Malignant	hemato_related_i	36	TRUE	TRUE	NA
ZFP36L2	TRUE	ZFP36L2	Malignant	hemato_related_i	37	TRUE	TRUE	NA
FOS	TRUE	FOS	Malignant	hemato_related_i	38	TRUE	TRUE	NA
SERPINB1	TRUE	SERPINB1	Malignant	hemato_related_i	39	TRUE	TRUE	NA
IGLL1	TRUE	IGLL1	Malignant	hemato_related_i	40	TRUE	TRUE	NA
LYZ	TRUE	LYZ	Malignant	hemato_related_i	41	TRUE	TRUE	NA
MGST1	TRUE	MGST1	Malignant	hemato_related_i	42	TRUE	TRUE	NA
TNFSF13B	TRUE	TNFSF13B	Malignant	hemato_related_i	43	TRUE	TRUE	NA
HLA-DQB1	TRUE	HLA-DQB1	Malignant	hemato_related_i	44	TRUE	TRUE	NA
CD74	TRUE	CD74	Malignant	hemato_related_i	45	TRUE	TRUE	NA
PTPRCAP	TRUE	PTPRCAP	Malignant	hemato_related_i	46	TRUE	TRUE	NA
ANKRD28	TRUE	ANKRD28	Malignant	hemato_related_i	47	TRUE	TRUE	NA
CD34	TRUE	CD34	Malignant	hemato_related_i	48	TRUE	TRUE	NA
CPA3	TRUE	CPA3	Malignant	hemato_related_i	49	TRUE	TRUE	NA
FAM30A	FALSE	FAM30A	Malignant	hemato_related_i	50	FALSE	TRUE	FAM30A
IGLC2	TRUE	IGLC2	Malignant	ig	1	TRUE	TRUE	NA
IGLC3	TRUE	IGLC3	Malignant	ig	2	TRUE	TRUE	NA
IGHA2	TRUE	IGHA2	Malignant	ig	3	TRUE	TRUE	NA
IGHA1	TRUE	IGHA1	Malignant	ig	4	TRUE	TRUE	NA
IGHG4	TRUE	IGHG4	Malignant	ig	5	TRUE	TRUE	NA
IGKC	TRUE	IGKC	Malignant	ig	6	TRUE	TRUE	NA
CD79A	TRUE	CD79A	Malignant	ig	7	TRUE	TRUE	NA
IGHG1	TRUE	IGHG1	Malignant	ig	8	TRUE	TRUE	NA
IGHG3	TRUE	IGHG3	Malignant	ig	9	TRUE	TRUE	NA
IGHG2	TRUE	IGHG2	Malignant	ig	10	TRUE	TRUE	NA
IGHGP	TRUE	IGHGP	Malignant	ig	11	TRUE	TRUE	NA
IGLJ2	TRUE	IGLJ2	Malignant	ig	12	TRUE	TRUE	NA
IGLC1	TRUE	IGLC1	Malignant	ig	13	TRUE	TRUE	NA
DERL3	TRUE	DERL3	Malignant	ig	14	TRUE	TRUE	NA
IGHM	TRUE	IGHM	Malignant	ig	15	TRUE	TRUE	NA
IGLC7	TRUE	IGLC7	Malignant	ig	16	TRUE	TRUE	NA
SELENOM	TRUE	SELENOM	Malignant	ig	17	TRUE	TRUE	NA
CD63	TRUE	CD63	Malignant	ig	18	TRUE	TRUE	NA
IGLV3-1	TRUE	IGLV3-1	Malignant	ig	19	TRUE	TRUE	NA
IGLV3-7	TRUE	IGLV3-7	Malignant	ig	20	TRUE	TRUE	NA
IGLV6-57	TRUE	IGLV6-57	Malignant	ig	21	TRUE	TRUE	NA
JSRP1	TRUE	JSRP1	Malignant	ig	22	TRUE	TRUE	NA
CCPG1	TRUE	CCPG1	Malignant	ig	23	TRUE	TRUE	NA
DNAJB9	TRUE	DNAJB9	Malignant	ig	24	TRUE	TRUE	NA
IGKV1-12	TRUE	IGKV1-12	Malignant	ig	25	TRUE	TRUE	NA
IGLJ1	TRUE	IGLJ1	Malignant	ig	26	TRUE	TRUE	NA
KLF6	TRUE	KLF6	Malignant	ig	27	TRUE	TRUE	NA
TSC22D3	TRUE	TSC22D3	Malignant	ig	28	TRUE	TRUE	NA
AC134669.2	FALSE	NA	Malignant	ig	29	FALSE	FALSE	NA
ADA2	TRUE	ADA2	Malignant	ig	30	TRUE	TRUE	NA
CD27	TRUE	CD27	Malignant	ig	31	TRUE	TRUE	NA
CITED2	TRUE	CITED2	Malignant	ig	32	TRUE	TRUE	NA
FCRL5	TRUE	FCRL5	Malignant	ig	33	TRUE	TRUE	NA
HERPUD1	TRUE	HERPUD1	Malignant	ig	34	TRUE	TRUE	NA
HLA-F	TRUE	HLA-F	Malignant	ig	35	TRUE	TRUE	NA
IGKV4-1	TRUE	IGKV4-1	Malignant	ig	36	TRUE	TRUE	NA
IGLC5	TRUE	IGLC5	Malignant	ig	37	TRUE	TRUE	NA
IGLC6	TRUE	IGLC6	Malignant	ig	38	TRUE	TRUE	NA
IGLJ3	TRUE	IGLJ3	Malignant	ig	39	TRUE	TRUE	NA
IGLL5	TRUE	IGLL5	Malignant	ig	40	TRUE	TRUE	NA
IGLV3-21	TRUE	IGLV3-21	Malignant	ig	41	TRUE	TRUE	NA
ITGB7	TRUE	ITGB7	Malignant	ig	42	TRUE	TRUE	NA
JCHAIN	TRUE	JCHAIN	Malignant	ig	43	TRUE	TRUE	NA
TXNIP	TRUE	TXNIP	Malignant	ig	44	TRUE	TRUE	NA
MIR4539	TRUE	MIR4539	Malignant	ig	45	FALSE	FALSE	NA
SEL1L3	TRUE	SEL1L3	Malignant	ig	46	TRUE	TRUE	NA
PRDX4	TRUE	PRDX4	Malignant	ig	47	TRUE	TRUE	NA
IRF4	TRUE	IRF4	Malignant	ig	48	TRUE	TRUE	NA
MAN1A2	TRUE	MAN1A2	Malignant	ig	49	TRUE	TRUE	NA
TNFRSF17	TRUE	TNFRSF17	Malignant	ig	50	TRUE	TRUE	NA
CTNNBL1	TRUE	CTNNBL1	Malignant	hemato_related_ii	1	TRUE	TRUE	NA
FCER1A	TRUE	FCER1A	Malignant	hemato_related_ii	2	TRUE	TRUE	NA
GATA2	TRUE	GATA2	Malignant	hemato_related_ii	3	TRUE	TRUE	NA
CD84	TRUE	CD84	Malignant	hemato_related_ii	4	TRUE	TRUE	NA
PDZD8	TRUE	PDZD8	Malignant	hemato_related_ii	5	TRUE	TRUE	NA
SLC40A1	TRUE	SLC40A1	Malignant	hemato_related_ii	6	TRUE	TRUE	NA
TESPA1	TRUE	TESPA1	Malignant	hemato_related_ii	7	TRUE	TRUE	NA
ZMYND8	TRUE	ZMYND8	Malignant	hemato_related_ii	8	TRUE	TRUE	NA
CYTL1	TRUE	CYTL1	Malignant	hemato_related_ii	9	TRUE	TRUE	NA
MINPP1	TRUE	MINPP1	Malignant	hemato_related_ii	10	TRUE	TRUE	NA
PDCD4	TRUE	PDCD4	Malignant	hemato_related_ii	11	TRUE	TRUE	NA
PKIG	TRUE	PKIG	Malignant	hemato_related_ii	12	TRUE	TRUE	NA
RP11-354E11.2	FALSE	NA	Malignant	hemato_related_ii	13	FALSE	FALSE	NA
SOD2	TRUE	SOD2	Malignant	hemato_related_ii	14	TRUE	TRUE	NA
STAM	TRUE	STAM	Malignant	hemato_related_ii	15	TRUE	TRUE	NA
ABCC4	TRUE	ABCC4	Malignant	hemato_related_ii	16	TRUE	TRUE	NA
ALDH1A1	TRUE	ALDH1A1	Malignant	hemato_related_ii	17	TRUE	TRUE	NA
ATP6V0A2	TRUE	ATP6V0A2	Malignant	hemato_related_ii	18	TRUE	TRUE	NA
CD82	TRUE	CD82	Malignant	hemato_related_ii	19	TRUE	TRUE	NA
CNRIP1	TRUE	CNRIP1	Malignant	hemato_related_ii	20	TRUE	TRUE	NA
CPA3	TRUE	CPA3	Malignant	hemato_related_ii	21	TRUE	TRUE	NA
CPPED1	TRUE	CPPED1	Malignant	hemato_related_ii	22	TRUE	TRUE	NA
DEPTOR	TRUE	DEPTOR	Malignant	hemato_related_ii	23	TRUE	TRUE	NA
GMPR	TRUE	GMPR	Malignant	hemato_related_ii	24	TRUE	TRUE	NA
HBD	TRUE	HBD	Malignant	hemato_related_ii	25	TRUE	TRUE	NA
HPGDS	TRUE	HPGDS	Malignant	hemato_related_ii	26	TRUE	TRUE	NA
IL1B	TRUE	IL1B	Malignant	hemato_related_ii	27	TRUE	TRUE	NA
KLF1	TRUE	KLF1	Malignant	hemato_related_ii	28	TRUE	TRUE	NA
LXN	TRUE	LXN	Malignant	hemato_related_ii	29	TRUE	TRUE	NA
NFE2	TRUE	NFE2	Malignant	hemato_related_ii	30	TRUE	TRUE	NA
PLEK	TRUE	PLEK	Malignant	hemato_related_ii	31	TRUE	TRUE	NA
PLIN2	TRUE	PLIN2	Malignant	hemato_related_ii	32	TRUE	TRUE	NA
RAB37	TRUE	RAB37	Malignant	hemato_related_ii	33	TRUE	TRUE	NA
RGS18	TRUE	RGS18	Malignant	hemato_related_ii	34	TRUE	TRUE	NA
TPSB2	TRUE	TPSB2	Malignant	hemato_related_ii	35	TRUE	TRUE	NA
ZEB2	TRUE	ZEB2	Malignant	hemato_related_ii	36	TRUE	TRUE	NA
STXBP6	TRUE	STXBP6	Malignant	hemato_related_ii	37	TRUE	TRUE	NA
KCNQ1OT1	TRUE	KCNQ1OT1	Malignant	hemato_related_ii	38	TRUE	TRUE	NA
BMP2K	TRUE	BMP2K	Malignant	hemato_related_ii	39	TRUE	TRUE	NA
EREG	TRUE	EREG	Malignant	hemato_related_ii	40	TRUE	TRUE	NA
CYTOR	FALSE	CYTOR	Malignant	hemato_related_ii	41	FALSE	TRUE	CYTOR
FREM1	TRUE	FREM1	Malignant	hemato_related_ii	42	TRUE	TRUE	NA
PBX1	TRUE	PBX1	Malignant	hemato_related_ii	43	TRUE	TRUE	NA
PDLIM1	TRUE	PDLIM1	Malignant	hemato_related_ii	44	TRUE	TRUE	NA
MPP1	TRUE	MPP1	Malignant	hemato_related_ii	45	TRUE	TRUE	NA
SOX4	TRUE	SOX4	Malignant	hemato_related_ii	46	TRUE	TRUE	NA
FAM117A	TRUE	FAM117A	Malignant	hemato_related_ii	47	TRUE	TRUE	NA
FAM19A2	FALSE	TAFA2	Malignant	hemato_related_ii	48	TRUE	FALSE	NA
ICAM4	TRUE	ICAM4	Malignant	hemato_related_ii	49	TRUE	TRUE	NA
CASP3	TRUE	CASP3	Malignant	hemato_related_ii	50	TRUE	TRUE	NA
NAT8	TRUE	NAT8	Malignant	glutathione	1	TRUE	TRUE	NA
ACSM2B	TRUE	ACSM2B	Malignant	glutathione	2	TRUE	TRUE	NA
LGALS2	TRUE	LGALS2	Malignant	glutathione	3	TRUE	TRUE	NA
AMN	TRUE	AMN	Malignant	glutathione	4	TRUE	TRUE	NA
BBOX1	TRUE	BBOX1	Malignant	glutathione	5	TRUE	TRUE	NA
KHK	TRUE	KHK	Malignant	glutathione	6	TRUE	TRUE	NA
MIOX	TRUE	MIOX	Malignant	glutathione	7	TRUE	TRUE	NA
SMIM24	TRUE	SMIM24	Malignant	glutathione	8	TRUE	TRUE	NA
AQP1	TRUE	AQP1	Malignant	glutathione	9	TRUE	TRUE	NA
C11orf54	FALSE	C11orf54	Malignant	glutathione	10	FALSE	TRUE	C11orf54
CUBN	TRUE	CUBN	Malignant	glutathione	11	TRUE	TRUE	NA
GSTA1	TRUE	GSTA1	Malignant	glutathione	12	TRUE	TRUE	NA
GLYAT	TRUE	GLYAT	Malignant	glutathione	13	TRUE	TRUE	NA
ACSM2A	TRUE	ACSM2A	Malignant	glutathione	14	TRUE	TRUE	NA
AOC1	TRUE	AOC1	Malignant	glutathione	15	TRUE	TRUE	NA
APOM	TRUE	APOM	Malignant	glutathione	16	TRUE	TRUE	NA
GAL3ST1	TRUE	GAL3ST1	Malignant	glutathione	17	TRUE	TRUE	NA
GSTA2	TRUE	GSTA2	Malignant	glutathione	18	TRUE	TRUE	NA
SLC6A13	TRUE	SLC6A13	Malignant	glutathione	19	TRUE	TRUE	NA
AZGP1	TRUE	AZGP1	Malignant	glutathione	20	TRUE	TRUE	NA
GLYATL1	TRUE	GLYATL1	Malignant	glutathione	21	TRUE	TRUE	NA
LRP2	TRUE	LRP2	Malignant	glutathione	22	TRUE	TRUE	NA
PCSK1N	TRUE	PCSK1N	Malignant	glutathione	23	TRUE	TRUE	NA
PEPD	TRUE	PEPD	Malignant	glutathione	24	TRUE	TRUE	NA
SLC17A3	TRUE	SLC17A3	Malignant	glutathione	25	TRUE	TRUE	NA
SLC5A12	TRUE	SLC5A12	Malignant	glutathione	26	TRUE	TRUE	NA
CDHR5	TRUE	CDHR5	Malignant	glutathione	27	TRUE	TRUE	NA
MSRA	TRUE	MSRA	Malignant	glutathione	28	TRUE	TRUE	NA
PDZK1	TRUE	PDZK1	Malignant	glutathione	29	TRUE	TRUE	NA
PXMP2	TRUE	PXMP2	Malignant	glutathione	30	TRUE	TRUE	NA
SLC16A9	TRUE	SLC16A9	Malignant	glutathione	31	TRUE	TRUE	NA
SLC22A18	TRUE	SLC22A18	Malignant	glutathione	32	TRUE	TRUE	NA
AGT	TRUE	AGT	Malignant	glutathione	33	TRUE	TRUE	NA
CES2	TRUE	CES2	Malignant	glutathione	34	TRUE	TRUE	NA
CLDN10	TRUE	CLDN10	Malignant	glutathione	35	TRUE	TRUE	NA
DDC	TRUE	DDC	Malignant	glutathione	36	TRUE	TRUE	NA
CLTRN	FALSE	CLTRN	Malignant	glutathione	37	FALSE	TRUE	CLTRN
TNFAIP6	TRUE	TNFAIP6	Malignant	glutathione	38	TRUE	TRUE	NA
AGXT2	TRUE	AGXT2	Malignant	glutathione	39	TRUE	TRUE	NA
CFI	TRUE	CFI	Malignant	glutathione	40	TRUE	TRUE	NA
FOLR1	TRUE	FOLR1	Malignant	glutathione	41	TRUE	TRUE	NA
GAMT	TRUE	GAMT	Malignant	glutathione	42	TRUE	TRUE	NA
RIDA	FALSE	RIDA	Malignant	glutathione	43	FALSE	TRUE	RIDA
RBP5	TRUE	RBP5	Malignant	glutathione	44	TRUE	TRUE	NA
TSPAN1	TRUE	TSPAN1	Malignant	glutathione	45	TRUE	TRUE	NA
GPX3	TRUE	GPX3	Malignant	glutathione	46	TRUE	TRUE	NA
CXCL14	TRUE	CXCL14	Malignant	glutathione	47	TRUE	TRUE	NA
PRAP1	TRUE	PRAP1	Malignant	glutathione	48	TRUE	TRUE	NA
LACTB2	TRUE	LACTB2	Malignant	glutathione	49	TRUE	TRUE	NA
GCHFR	TRUE	GCHFR	Malignant	glutathione	50	TRUE	TRUE	NA
MT1X	TRUE	MT1X	Malignant	metal_response	1	TRUE	TRUE	NA
CAV1	TRUE	CAV1	Malignant	metal_response	2	TRUE	TRUE	NA
MT1E	TRUE	MT1E	Malignant	metal_response	3	TRUE	TRUE	NA
C5orf46	FALSE	C5orf46	Malignant	metal_response	4	FALSE	TRUE	C5orf46
TGFBI	TRUE	TGFBI	Malignant	metal_response	5	TRUE	TRUE	NA
CEBPB	TRUE	CEBPB	Malignant	metal_response	6	TRUE	TRUE	NA
CKB	TRUE	CKB	Malignant	metal_response	7	TRUE	TRUE	NA
EPB41L4A-AS1	TRUE	EPB41L4A-AS1	Malignant	metal_response	8	TRUE	TRUE	NA
IGFBP5	TRUE	IGFBP5	Malignant	metal_response	9	TRUE	TRUE	NA
LGALS1	TRUE	LGALS1	Malignant	metal_response	10	TRUE	TRUE	NA
LOX	TRUE	LOX	Malignant	metal_response	11	TRUE	TRUE	NA
MT1M	TRUE	MT1M	Malignant	metal_response	12	TRUE	TRUE	NA
MT2A	TRUE	MT2A	Malignant	metal_response	13	TRUE	TRUE	NA
MT3	TRUE	MT3	Malignant	metal_response	14	TRUE	TRUE	NA
NOL3	TRUE	NOL3	Malignant	metal_response	15	TRUE	TRUE	NA
STC1	TRUE	STC1	Malignant	metal_response	16	TRUE	TRUE	NA
TUBA1A	TRUE	TUBA1A	Malignant	metal_response	17	TRUE	TRUE	NA
DEPP1	FALSE	DEPP1	Malignant	metal_response	18	FALSE	TRUE	DEPP1
C1S	TRUE	C1S	Malignant	metal_response	19	TRUE	TRUE	NA
CP	TRUE	CP	Malignant	metal_response	20	TRUE	TRUE	NA
DDIT4	TRUE	DDIT4	Malignant	metal_response	21	TRUE	TRUE	NA
EMP3	TRUE	EMP3	Malignant	metal_response	22	TRUE	TRUE	NA
GLUL	TRUE	GLUL	Malignant	metal_response	23	TRUE	TRUE	NA
MT1F	TRUE	MT1F	Malignant	metal_response	24	TRUE	TRUE	NA
NPTX2	TRUE	NPTX2	Malignant	metal_response	25	TRUE	TRUE	NA
PLP2	TRUE	PLP2	Malignant	metal_response	26	TRUE	TRUE	NA
SMIM3	TRUE	SMIM3	Malignant	metal_response	27	TRUE	TRUE	NA
SNHG7	TRUE	SNHG7	Malignant	metal_response	28	TRUE	TRUE	NA
SOX4	TRUE	SOX4	Malignant	metal_response	29	TRUE	TRUE	NA
BGN	TRUE	BGN	Malignant	metal_response	30	TRUE	TRUE	NA
EDN1	TRUE	EDN1	Malignant	metal_response	31	TRUE	TRUE	NA
ID1	TRUE	ID1	Malignant	metal_response	32	TRUE	TRUE	NA
ID4	TRUE	ID4	Malignant	metal_response	33	TRUE	TRUE	NA
IER2	TRUE	IER2	Malignant	metal_response	34	TRUE	TRUE	NA
MT1A	TRUE	MT1A	Malignant	metal_response	35	TRUE	TRUE	NA
PMP22	TRUE	PMP22	Malignant	metal_response	36	TRUE	TRUE	NA
RSL24D1	TRUE	RSL24D1	Malignant	metal_response	37	TRUE	TRUE	NA
TSC22D3	TRUE	TSC22D3	Malignant	metal_response	38	TRUE	TRUE	NA
VCAM1	TRUE	VCAM1	Malignant	metal_response	39	TRUE	TRUE	NA
VCAN	TRUE	VCAN	Malignant	metal_response	40	TRUE	TRUE	NA
FSTL3	TRUE	FSTL3	Malignant	metal_response	41	TRUE	TRUE	NA
TMEM45A	TRUE	TMEM45A	Malignant	metal_response	42	TRUE	TRUE	NA
ZBTB16	TRUE	ZBTB16	Malignant	metal_response	43	TRUE	TRUE	NA
TMEM91	TRUE	TMEM91	Malignant	metal_response	44	TRUE	TRUE	NA
FKBP5	TRUE	FKBP5	Malignant	metal_response	45	TRUE	TRUE	NA
S100A6	TRUE	S100A6	Malignant	metal_response	46	TRUE	TRUE	NA
C1R	TRUE	C1R	Malignant	metal_response	47	TRUE	TRUE	NA
MMP7	TRUE	MMP7	Malignant	metal_response	48	TRUE	TRUE	NA
KLF4	TRUE	KLF4	Malignant	metal_response	49	TRUE	TRUE	NA
ANXA1	TRUE	ANXA1	Malignant	metal_response	50	TRUE	TRUE	NA
ISG20	TRUE	ISG20	Malignant	pdac_related	1	TRUE	TRUE	NA
KLK10	TRUE	KLK10	Malignant	pdac_related	2	TRUE	TRUE	NA
CEACAM1	TRUE	CEACAM1	Malignant	pdac_related	3	TRUE	TRUE	NA
F3	TRUE	F3	Malignant	pdac_related	4	TRUE	TRUE	NA
LMO7	TRUE	LMO7	Malignant	pdac_related	5	TRUE	TRUE	NA
PLAUR	TRUE	PLAUR	Malignant	pdac_related	6	TRUE	TRUE	NA
SLPI	TRUE	SLPI	Malignant	pdac_related	7	TRUE	TRUE	NA
ANKRD36C	TRUE	ANKRD36C	Malignant	pdac_related	8	TRUE	TRUE	NA
CD55	TRUE	CD55	Malignant	pdac_related	9	TRUE	TRUE	NA
CEACAM6	TRUE	CEACAM6	Malignant	pdac_related	10	TRUE	TRUE	NA
EPS8L1	TRUE	EPS8L1	Malignant	pdac_related	11	TRUE	TRUE	NA
LCN2	TRUE	LCN2	Malignant	pdac_related	12	TRUE	TRUE	NA
PSCA	TRUE	PSCA	Malignant	pdac_related	13	TRUE	TRUE	NA
TIMP2	TRUE	TIMP2	Malignant	pdac_related	14	TRUE	TRUE	NA
C15orf48	FALSE	C15orf48	Malignant	pdac_related	15	FALSE	TRUE	C15orf48
KLF2	TRUE	KLF2	Malignant	pdac_related	16	TRUE	TRUE	NA
KLK6	TRUE	KLK6	Malignant	pdac_related	17	TRUE	TRUE	NA
KLK7	TRUE	KLK7	Malignant	pdac_related	18	TRUE	TRUE	NA
KRT23	TRUE	KRT23	Malignant	pdac_related	19	TRUE	TRUE	NA
LAMC2	TRUE	LAMC2	Malignant	pdac_related	20	TRUE	TRUE	NA
S100A4	TRUE	S100A4	Malignant	pdac_related	21	TRUE	TRUE	NA
TNFRSF12A	TRUE	TNFRSF12A	Malignant	pdac_related	22	TRUE	TRUE	NA
ALDH1A3	TRUE	ALDH1A3	Malignant	pdac_related	23	TRUE	TRUE	NA
ANXA1	TRUE	ANXA1	Malignant	pdac_related	24	TRUE	TRUE	NA
APOL1	TRUE	APOL1	Malignant	pdac_related	25	TRUE	TRUE	NA
CLDN23	TRUE	CLDN23	Malignant	pdac_related	26	TRUE	TRUE	NA
CLIC3	TRUE	CLIC3	Malignant	pdac_related	27	TRUE	TRUE	NA
COL6A1	TRUE	COL6A1	Malignant	pdac_related	28	TRUE	TRUE	NA
CST6	TRUE	CST6	Malignant	pdac_related	29	TRUE	TRUE	NA
EMP1	TRUE	EMP1	Malignant	pdac_related	30	TRUE	TRUE	NA
FLNB	TRUE	FLNB	Malignant	pdac_related	31	TRUE	TRUE	NA
IL1RN	TRUE	IL1RN	Malignant	pdac_related	32	TRUE	TRUE	NA
IL32	TRUE	IL32	Malignant	pdac_related	33	TRUE	TRUE	NA
KLK11	TRUE	KLK11	Malignant	pdac_related	34	TRUE	TRUE	NA
KRT16	TRUE	KRT16	Malignant	pdac_related	35	TRUE	TRUE	NA
KRT17	TRUE	KRT17	Malignant	pdac_related	36	TRUE	TRUE	NA
LDLR	TRUE	LDLR	Malignant	pdac_related	37	TRUE	TRUE	NA
MALL	TRUE	MALL	Malignant	pdac_related	38	TRUE	TRUE	NA
MMP7	TRUE	MMP7	Malignant	pdac_related	39	TRUE	TRUE	NA
RAB11FIP1	TRUE	RAB11FIP1	Malignant	pdac_related	40	TRUE	TRUE	NA
SLC16A3	TRUE	SLC16A3	Malignant	pdac_related	41	TRUE	TRUE	NA
TFF2	TRUE	TFF2	Malignant	pdac_related	42	TRUE	TRUE	NA
CEACAM5	TRUE	CEACAM5	Malignant	pdac_related	43	TRUE	TRUE	NA
MUC5AC	TRUE	MUC5AC	Malignant	pdac_related	44	TRUE	TRUE	NA
SDCBP2	TRUE	SDCBP2	Malignant	pdac_related	45	TRUE	TRUE	NA
SMIM5	TRUE	SMIM5	Malignant	pdac_related	46	TRUE	TRUE	NA
ISG15	TRUE	ISG15	Malignant	pdac_related	47	TRUE	TRUE	NA
SLC2A1	TRUE	SLC2A1	Malignant	pdac_related	48	TRUE	TRUE	NA
LRRC8A	TRUE	LRRC8A	Malignant	pdac_related	49	TRUE	TRUE	NA
MT1X	TRUE	MT1X	Malignant	pdac_related	50	TRUE	TRUE	NA
DST	TRUE	DST	Malignant	unassigned	1	TRUE	TRUE	NA
KMT2A	TRUE	KMT2A	Malignant	unassigned	2	TRUE	TRUE	NA
MALAT1	TRUE	MALAT1	Malignant	unassigned	3	TRUE	TRUE	NA
MIR6515	TRUE	MIR6515	Malignant	unassigned	4	FALSE	FALSE	NA
AKAP9	TRUE	AKAP9	Malignant	unassigned	5	TRUE	TRUE	NA
ATRX	TRUE	ATRX	Malignant	unassigned	6	TRUE	TRUE	NA
GOLGB1	TRUE	GOLGB1	Malignant	unassigned	7	TRUE	TRUE	NA
ZBTB20	TRUE	ZBTB20	Malignant	unassigned	8	TRUE	TRUE	NA
EIF3A	TRUE	EIF3A	Malignant	unassigned	9	TRUE	TRUE	NA
MIR3648-1	TRUE	MIR3648-1	Malignant	unassigned	10	FALSE	FALSE	NA
ANKRD12	TRUE	ANKRD12	Malignant	unassigned	11	TRUE	TRUE	NA
GOLGA4	TRUE	GOLGA4	Malignant	unassigned	12	TRUE	TRUE	NA
